date;parc;usage;revenu
01/01/2022;6637936;15272729,9;619037,4289
02/01/2022;6618074;10408295,16;443105,7514
03/01/2022;6584383;11229130,58;520244,0255
04/01/2022;6601321;10951782,5;485757,9554
05/01/2022;6585386;11665418,91;536006,0784
06/01/2022;6587778;11629304,57;539280,5598
07/01/2022;6585107;11685661,86;529017,6892
08/01/2022;6590615;11976965,81;526609,5167
09/01/2022;6566458;10419802,92;455532,8051
10/01/2022;6579821;12082248,75;556129,5971
11/01/2022;6604324;12437974,92;537107,4059
12/01/2022;6629062;11956402,55;512551,4064
13/01/2022;6627180;11468653,83;496149,1745
14/01/2022;6647892;11844933,9;512929,676
15/01/2022;6653513;11484281,74;492176,3127
16/01/2022;6644806;10431310,67;434078,1761
17/01/2022;6643611;11282551,16;491887,3142
18/01/2022;6643611;11532266,69;500389,2422
19/01/2022;6659232;11460860,35;506720,324
20/01/2022;6689043;12109706,39;508673,9623
21/01/2022;6682198;11714330,32;500221,0775
22/01/2022;6669606;11483412,2;510328,9162
23/01/2022;6645685;10594740,27;433630,8043
24/01/2022;6590414;11613659,72;520642,3799
25/01/2022;6592715;11568897,04;501096,7539
26/01/2022;6592445;11313855,68;501732,2691
27/01/2022;6563799;11623586;508952,8799
28/01/2022;6623586;11867144,47;520455,0005
29/01/2022;6598471;11902084,51;524963,7132
30/01/2022;6563623;10797647,98;450349,7594
31/01/2022;6529671;11601727,78;525868,0358
01/02/2022;6528334;11786817,51;534690,6255
02/02/2022;6527180;11922771,54;529032,4206
03/02/2022;6517255;11684020,32;522837,3892
04/02/2022;6514728;11924900,55;533496,4971
05/02/2022;6496982;12200417,19;547897,3975
06/02/2022;6470529;10849190,56;457359,6663
07/02/2022;6458855;12098749,5;561758,1725
08/02/2022;6467844;12271489,01;546749,0382
09/02/2022;6463752;12373459,26;543355,0162
10/02/2022;6445175;12122637,09;536702,9657
11/02/2022;6420979;11988595,74;537299,1029
12/02/2022;6417997;12205725,43;541118,2294
13/02/2022;6391361;10582552,82;439764,233
14/02/2022;6379207;11957443,7;569497,7083
15/02/2022;6374299;12015273,25;527943,2201
16/02/2022;6363810;11654195,39;524006,699
17/02/2022;6347630;11703908,15;525051,2348
18/02/2022;6339723;11890112,35;493920,4211
19/02/2022;6316600;11756014,86;500473,2824
20/02/2022;6305952;10737222,2;424580,6612
21/02/2022;6312988;11702611,46;518839,4309
22/02/2022;6322375;12215175,45;500400,6005
23/02/2022;6327612;11865496;504230,6745
24/02/2022;6341713;11833224,2;500954,6525
25/02/2022;6351132;12180773,38;539481,0613
26/02/2022;6357704;12278195,33;536769,4529
27/02/2022;6360686;11351475,78;457628,2903
28/02/2022;6379173;12539275,82;568475,3696
01/03/2022;6326992;11441756,42;520669,0652
02/03/2022;6387066;11694925,71;557400,8098
03/03/2022;6401463;12117100,66;562108,4975
04/03/2022;6413191;11908553,92;550580,0765
05/03/2022;6428444;12134373,74;617132,6951
06/03/2022;6431010;11115018,16;490790,4902
07/03/2022;6441182;12469661,6;594819,0343
08/03/2022;6459192;12222003,25;575242,3784
09/03/2022;6469581;12099478,57;551733,9005
10/03/2022;6469581;11230378,96;521161,4461
11/03/2022;6479255;12034567,31;522058,8583
12/03/2022;6480195;11102359,95;501489,9936
13/03/2022;6487755;10468852,26;470241,0157
14/03/2022;6498030;12047610,4;545127,8549
15/03/2022;6516881;12027144,29;548814,3922
16/03/2022;6554026;12066950,7;545260,0358
17/03/2022;6599935;11341989,85;511692,2054
18/03/2022;6636329;11788695,68;533605,6882
19/03/2022;6641478;11671628,26;528823,0539
20/03/2022;6663748;11181656,8;463281,6476
21/03/2022;6684833;12221537,96;544583,7588
22/03/2022;6734981;12124573,77;505648,4377
23/03/2022;6764220;12216860,49;541458,0034
24/03/2022;6790487;11979745,72;522918,4632
25/03/2022;6819366;11685669,8;506654,0083
26/03/2022;6840779;12358726,13;536956,4245
27/03/2022;6780674;11069669,28;467237,8523
28/03/2022;6825081;11888899,76;545044,9858
29/03/2022;6767410;11747323,49;522408,5598
30/03/2022;6698479;12209567,57;508845,8961
31/03/2022;6641962;12656273,31;553213,2833
01/04/2022;6728629;12698604,19;568544,9377
02/04/2022;6762451;13067832,74;559170,848
03/04/2022;6781620;11693803,21;490956,8529
04/04/2022;6788450;12549068,19;588216,8681
05/04/2022;6819603;12555124,13;561379,0176
06/04/2022;6838120;12933768,1;570458,5946
07/04/2022;6859442;12774540,42;557814,5804
08/04/2022;6887417;13093809,68;596420,2745
09/04/2022;6919508;13161236,99;573784,3044
10/04/2022;6932220;12139505,03;504710,6289
11/04/2022;6941747;12825123,4;610193,1103
12/04/2022;6980108;12976524,32;556027,3745
13/04/2022;7008923;12904996,09;568381,0123
14/04/2022;7008923;12757707,63;565761,2691
15/04/2022;7048179;12216619,57;535566,3721
16/04/2022;7061612;12691322,16;570608,7
17/04/2022;7052729;11571285,41;485138,9824
18/04/2022;7072615;12656381,62;583811,6142
19/04/2022;7087223;12520749,33;544213,5255
20/04/2022;7097590;12051595,54;523568,4049
21/04/2022;7110621;12489292,31;545633,2152
22/04/2022;7117706;12645823,64;542665,5304
23/04/2022;7121500;11984761,02;535705,7745
24/04/2022;7113860;11497199,37;489023,928
25/04/2022;7110526;12509774,82;585295,8985
26/04/2022;7158451;12334268,18;545412,3279
27/04/2022;7126271;12370382,95;562500,4216
28/04/2022;7206871;12458198,23;560186,1598
29/04/2022;7220714;12220576,07;560993,5559
30/04/2022;7232069;12737689,88;593103,3475
01/05/2022;7226395;11534242,39;491289,9941
02/05/2022;7238608;12857581,43;607654,2186
03/05/2022;7248488;12952126,13;587534,976
04/05/2022;7255082;13020694,14;580048,3029
05/05/2022;7266487;13177411,14;602895,4294
06/05/2022;7275768;13157349,94;599275,6868
07/05/2022;7287874;12767845,06;576041,7539
08/05/2022;7290766;11759229,92;509870,0103
09/05/2022;7426158;12980293,74;618688,6583
10/05/2022;7426093;12961556,3;585357,2799
11/05/2022;7448342;12944318,45;583931,0466
12/05/2022;7455889;12957588,49;582322,0755
13/05/2022;7470864;12996753,03;583603,8211
14/05/2022;7479696;12959254,78;594701,1289
15/05/2022;7469675;11961204,53;514389,198
16/05/2022;7470381;12996530,75;609890,524
17/05/2022;7475478;12888334,2;570958,6784
18/05/2022;7489972;12953653,1;583482,574
19/05/2022;7496897;13048987,62;584362,1358
20/05/2022;7592848;13097035,63;587512,173
21/05/2022;7592848;13185660,44;596241,5843
22/05/2022;7517511;11899734,71;513135,7755
23/05/2022;7526898;12790780,18;594519,0672
24/05/2022;7537424;12640838,46;574258,702
25/05/2022;7546751;12713723,13;572606,5559
26/05/2022;7552664;12652176,09;576328,8828
27/05/2022;7480272;12816740,69;581616,6172
28/05/2022;7539272;12701314,19;576906,0603
29/05/2022;7529087;11528544,04;515417,0598
30/05/2022;7524646;12984440,13;604153,4343
31/05/2022;7538381;12764586,33;591113,3265
01/06/2022;7538980;12833688,11;597257,7044
02/06/2022;7539441;10771433,43;598647,3922
03/06/2022;7548333;10968799,69;606575,3544
04/06/2022;7552603;10967319,17;608744,498
05/06/2022;7543843;9906067,518;537285,7627
06/06/2022;7546277;11260566,33;635836,6083
07/06/2022;7550463;11050798,99;613652,4108
08/06/2022;7575745;11011523,31;602480,199
09/06/2022;7592440;10926654,05;603488,9235
10/06/2022;7612664;11147640,16;611631,8583
11/06/2022;7617461;10968553,73;601005,9569
12/06/2022;7607356;10004240,47;531720,648
13/06/2022;7605678;11312368,27;630050,2221
14/06/2022;7606325;11192880,7;609830,7147
15/06/2022;7612625;11069412,28;604487,1255
16/06/2022;7615824;11122070,8;595325,1422
17/06/2022;7615442;11026826,64;595952,0412
18/06/2022;7609896;10986500,24;587212,8206
19/06/2022;7673787;10059385,4;518892,8221
20/06/2022;7686587;10135814,43;612145,1593
21/06/2022;7703928;10931667,74;592223,9902
22/06/2022;7719443;10947649,31;585899,1657
23/06/2022;7725341;10957879,88;587318,9167
24/06/2022;7741333;11182606,66;603440,2221
25/06/2022;7754977;11106097,77;601539,9176
26/06/2022;7760315;9986383,282;522321,9525
27/06/2022;7767367;10330157,47;576719,9485
28/06/2022;7784504;10634614,07;576197,2113
29/06/2022;7802165;11445855,95;616895,7672
30/06/2022;7811034;11127016,54;588615,0118
01/07/2022;7816792;11429886,15;622784,6931
02/07/2022;7819099;11466746,13;617165,5858
03/07/2022;7813858;10425396,04;541005,2588
04/07/2022;7810231;11716529,23;646917,6426
05/07/2022;7829240;11735786,42;627606,8083
06/07/2022;7836586;11714553,79;624002,1549
07/07/2022;7853979;11854702,49;623154,4275
08/07/2022;7847668;11712158,33;623215,7451
09/07/2022;7851874;11715660,65;628619,7578
10/07/2022;7836059;10619407,46;543849,6971
11/07/2022;7845134;12181286,36;657788,5456
12/07/2022;7872737;11906944,7;628891,4059
13/07/2022;7887000;11925796,72;626802,4186
14/07/2022;7903418;11737655,63;620496,9544
15/07/2022;7921679;12021765,96;628594,7265
16/07/2022;7936005;11792547,37;631620,8534
17/07/2022;7943999;10996221,34;564182,5029
18/07/2022;7964893;11909636,59;642734,5358
19/07/2022;8004583;11837556,51;623937,9975
20/07/2022;8012823;11694536,22;613762,0328
21/07/2022;8032633;11387896,09;596094,6784
22/07/2022;8038138;11521264,64;606785,8299
23/07/2022;8049192;11251739,76;594669,9083
24/07/2022;8044077;10399243,31;529968,8618
25/07/2022;8050086;11676682,58;622515,4804
26/07/2022;8063580;11479311,54;601457,0961
27/07/2022;8076052;11804417,42;612822,4275
28/07/2022;8088711;11708393,38;611266,6123
29/07/2022;8100401;11795996,78;620130,3951
30/07/2022;8094193;11851574,07;626650,7436
31/07/2022;8082508;10651178,7;544583,849
01/08/2022;8084591;11530239,79;621420,0696
02/08/2022;8085920;12075904,6;637397,3525
03/08/2022;8103571;12252262,15;636700,3338
04/08/2022;8115783;12107821,34;631772,7995
05/08/2022;8123217;12271866,13;634039,6088
06/08/2022;8113152;12381990,33;642873,7059
07/08/2022;8107111;11205115,94;559236,6167
08/08/2022;8107074;12585755,53;658156,5657
09/08/2022;8124902;12428212,71;641659,8765
10/08/2022;8123442;12289553,18;635695,8882
11/08/2022;8118320;12075625,02;625043,9412
12/08/2022;8113637;12038306,58;618060,7093
13/08/2022;8112155;11495170,39;616677,2828
14/08/2022;8078657;10873614;542547,1554
15/08/2022;8073096;12203542,68;644516,7191
16/08/2022;8075173;12113398,91;624585,3053
17/08/2022;8071892;11585176,16;608967,518
18/08/2022;8052146;11632827,03;628212,7403
19/08/2022;8040167;12010359,59;632610,7913
20/08/2022;8020770;12108875,52;629095,3194
21/08/2022;7996899;10833446,97;537277,0908
22/08/2022;7996063;11715712,88;626195,4379
23/08/2022;7973608;11796920,47;620711,0558
24/08/2022;7982943;11663623,47;604729,1917
25/08/2022;7988055;12024562,58;622962,4553
26/08/2022;7978307;12005150,94;618659,3573
27/08/2022;7972520;11855689,92;616736,0311
28/08/2022;7999417;10639068,09;532266,7515
29/08/2022;7991813;11481620,89;632862,3903
30/08/2022;7996164;11896138,46;622742,0442
31/08/2022;8010296;11903153,04;620777,2733
01/09/2022;8001725;11896179,19;627011,5529
02/09/2022;7991896;11879278,67;637780,6757
03/09/2022;7982979;11529675,86;624208,3117
04/09/2022;7969018;10602637,89;565965,2364
05/09/2022;7966236;12486380,44;660430,3388
06/09/2022;7976484;12109223,78;624915,1316
07/09/2022;7977889;11965651,75;631467,5995
08/09/2022;7978267;12134071,08;623083,4548
09/09/2022;7968390;11998184,51;609247,831
10/09/2022;7961810;11422570,62;599076,0838
11/09/2022;7944295;10101896,74;508392,791
12/09/2022;7947039;11263842,69;596387,3814
13/09/2022;7964796;11318298,68;604927,2686
14/09/2022;7962230;11092838,29;583996,83
15/09/2022;7964817;11396630,34;593041,9681
16/09/2022;7974150;11273973,05;590282,1048
17/09/2022;7980560;11443328,65;599660,0833
18/09/2022;7978694;10014819,49;501287,9552
19/09/2022;7979574;11498617,22;608536,2376
20/09/2022;7995609;11354839,49;584182,0433
21/09/2022;8002623;11141770,43;559379,781
22/09/2022;8004182;11004481,95;575881,334
23/09/2022;8007471;11277017,32;580201,2223
24/09/2022;7994857;11287856,24;579193,1102
25/09/2022;7980159;10184943,83;506943,5476
26/09/2022;7982984;9604039,265;586277,7322
27/09/2022;7993018;11429001,25;571351,987
28/09/2022;7997078;11188961,17;569899,9913
29/09/2022;7997873;11146434,4;575391,7721
30/09/2022;7993121;10436312,28;578192,2875
01/10/2022;7981856;11317468,55;592255,9947
02/10/2022;7966997;10295868,99;524304,1168
03/10/2022;7967469;11376825,04;625024,5837
04/10/2022;7972256;11426291,69;599968,1582
05/10/2022;7982449;11205276,56;584965,138
06/10/2022;7984413;11159723,38;585460,8981
07/10/2022;7986125;11363828,46;600060,2774
08/10/2022;7975811;11045872,24;567753,3827
09/10/2022;7969316;9281666,886;517667,1288
10/10/2022;7969719;9592901,88;614126,9087
11/10/2022;7982967;9300779,607;588192,0154
12/10/2022;7991572;8999254,553;563479,8428
13/10/2022;7996987;9125791,069;580098,9889
14/10/2022;8003708;10580431,13;579100,5716
15/10/2022;7992170;10915031,15;582096,2942
16/10/2022;7977560;9763050,028;495759,3481
17/10/2022;7968064;10946127,59;593226,8832
18/10/2022;7967299;10580305,54;545955,5933
19/10/2022;7973637;10843210,26;569456,3563
20/10/2022;7974982;10369103,46;548717,7207
21/10/2022;7974405;10798108,48;570830,0486
22/10/2022;7975602;10466484,11;560136,0188
23/10/2022;7981252;9773033,54;499179,7168
24/10/2022;7963434;10058963,11;533723,3764
25/10/2022;7971203;10675403,34;573857,3764
26/10/2022;7967269;10401212,27;539987,1308
27/10/2022;7975887;10790545,65;567503,0413
28/10/2022;7972510;10512856,32;545704,0389
29/10/2022;7966964;10667980,89;562444,7524
30/10/2022;7942513;9223329,301;465479,1623
31/10/2022;7939434;10529810,88;587930,1745
01/11/2022;7939834;10360574,96;551899,4678
02/11/2022;7928674;10567758,38;581000,8611
03/11/2022;7921275;10912261,67;579493,7736
04/11/2022;7918259;10818638,18;577573,3447
05/11/2022;7915711;10755203,59;569288,4659
06/11/2022;7895845;9748960,301;504371,2495
07/11/2022;7897955;10776971,74;589763,6625
08/11/2022;7911043;10679352,77;567641,4913
09/11/2022;7910190;10461080,07;549397,3452
10/11/2022;7918916;9965601,021;523733,6745
11/11/2022;7920557;10555118,56;564346,5933
12/11/2022;7924902;10656911,09;567222,1351
13/11/2022;7908346;9614233,698;487166,7447
14/11/2022;7913664;10611235,21;574621,8534
15/11/2022;7928950;10116755,93;508152,2337
16/11/2022;7936105;10408311,5;559371,9976
17/11/2022;7942538;10289065,16;531645,0514
18/11/2022;7937549;10419827,44;553280,8774
19/11/2022;7946687;10890569,73;568387,2014
20/11/2022;7934861;9398346,064;464194,4356
21/11/2022;7926957;10502330,94;558149,9284
22/11/2022;7932877;9948047,109;525309,0764
23/11/2022;7935184;10253001,12;536258,6543
24/11/2022;7944042;10248793,12;531399,7317
25/11/2022;7951120;10258437,19;532769,4101
26/11/2022;7951320;9989541,197;514007,2034
27/11/2022;7940709;9022446,046;465427,0111
28/11/2022;7937377;9922669,39;541615,0736
29/11/2022;7954193;9707182,249;517131,3793
30/11/2022;7990996;10282732,84;540995,9885
01/12/2022;7997269;10216337,57;559671,2981
02/12/2022;8019741;10455273,71;559854,7519
03/12/2022;8004937;10276042,57;557196,7183
04/12/2022;7979262;9223158,591;486798,5163
05/12/2022;7963485;10355643,12;582289,826
06/12/2022;7982395;10470574,38;560865,3505
07/12/2022;7976721;10510903,16;552724,1827
08/12/2022;7970940;10493883,78;552822,0529
09/12/2022;7963754;10176910,27;543577,349
10/12/2022;7967231;10370646,9;555753,7793
11/12/2022;7948687;8849926,639;451456,7491
12/12/2022;7948085;10125265,68;568068,8514
13/12/2022;7952944;9652131,953;517775,4202
14/12/2022;7969290;10284700,67;539336,949
15/12/2022;7986114;10587873,63;560241,75
16/12/2022;8000278;10508103,04;542687,0822
17/12/2022;7994930;10533402,05;558867,4183
18/12/2022;7972137;9194600,226;467052,5535
19/12/2022;7958170;10303545,85;566798,4577
20/12/2022;7977075;10715890,18;575571,45
21/12/2022;7986414;10628610,41;563166,5293
22/12/2022;7997634;10568178,18;578318,1519
23/12/2022;8009869;11260356,78;614517,7486
24/12/2022;8015890;11501946,1;618071,4058
25/12/2022;8016993;10568005,16;548369,4625
26/12/2022;8029157;10817482,86;590163,537
27/12/2022;8038505;10853928,93;591800,275
28/12/2022;8049396;11142782,4;586871,9731
29/12/2022;8050834;11149205,68;604621,6601
30/12/2022;8054652;11422114,03;628716,137
31/12/2022;8028088;13285697,31;752547,9702
01/01/2023;8037872;11807808,32;588734,6798
02/01/2023;8020378;10220338,54;565548,5962
03/01/2023;8032589;10202309,66;551058,9221
04/01/2023;8026653;10047518,75;531094,9712
05/01/2023;8019207;10106723,18;547094,7909
06/01/2023;8005972;10213850,51;552469,5096
07/01/2023;7993119;10080027,65;527213,2933
08/01/2023;7968422;9136563,671;471526,3291
09/01/2023;7959792;10254666,55;544189,4662
10/01/2023;7973400;10202965,38;541483,2938
11/01/2023;7964363;9941007,455;531707,7357
12/01/2023;7953475;9747682,052;524429,8876
13/01/2023;7948349;10157495,34;527970,7776
14/01/2023;7921941;10189602,04;526984,5243
15/01/2023;7887108;8974932,435;445408,6634
16/01/2023;7847394;8301260,853;457907,5373
17/01/2023;7870727;9734219,792;493611,9467
18/01/2023;7882920;10008019,27;514291,559
19/01/2023;7896176;9765654,345;489686,3057
20/01/2023;7893414;9972654,15;508567,4943
21/01/2023;7884403;9822058,067;502054,8486
22/01/2023;7861420;8705553,745;431406,3331
23/01/2023;7849363;9931444,013;520508,4562
24/01/2023;7850321;9584551,421;485080,8076
25/01/2023;7851343;10055931,63;523540,6876
26/01/2023;7829125;9889545,364;504446,7757
27/01/2023;7820427;9947190,736;495228,01
28/01/2023;7841918;10537973,73;524429,2333
29/01/2023;7827627;9581035,624;458623,1966
30/01/2023;7813649;10367216,22;522375,8829
31/01/2023;7794647;10230205,33;509161,5414
01/02/2023;7666482;10211734,11;508704,0206
02/02/2023;7686060;10112438,29;509078,6335
03/02/2023;7780784;10529396,71;521108,7844
04/02/2023;7793760;10490229,17;516502,0789
05/02/2023;7782857;9354265,201;457257,9762
06/02/2023;7780381;10471021,49;529635,1023
07/02/2023;7808215;10673058,05;537658,2798
08/02/2023;7815100;10300763,93;521845,2674
09/02/2023;7815871;10459922,17;538878,6931
10/02/2023;7814848;10554758,54;530490,7532
11/02/2023;7825903;9277526,218;520513,1711
12/02/2023;7810729;7856036,56;451104,3667
13/02/2023;7730825;9184099,43;558293,5248
14/02/2023;7767896;8735674,762;522179,4596
15/02/2023;7787148;8943601,556;504884,7706
16/02/2023;7779524;9466749,244;509799,9202
17/02/2023;7764870;8894187,358;511829,2555
18/02/2023;7749019;8853864,712;506816,0216
19/02/2023;7732431;7757444,368;432265,38
20/02/2023;7777313;9595512,882;532187,65
21/02/2023;7796156;9161250,11;496157,1917
22/02/2023;7809440;8819046,776;456387,9385
23/02/2023;7794360;9535700,219;502776,3867
24/02/2023;7786167;9350381,069;510643,578
25/02/2023;7792439;9422547,34;514730,2326
26/02/2023;7739128;8047827,017;422011,1401
27/02/2023;7770471;8632174,501;543649,606
28/02/2023;7793971;8705774,933;526987,9514
01/03/2023;7698539;8965856,855;594812,132
02/03/2023;7782494;8708819,769;538939,3213
03/03/2023;7796365;9052323,99;548154,3724
04/03/2023;7801512;8955615,46;547342,6151
05/03/2023;7795408;8108956,689;480953,2884
06/03/2023;7763048;8394540,124;532300,6356
07/03/2023;7769798;8992411,44;582751,7818
08/03/2023;7768123;9102361,735;547283,584
09/03/2023;7756903;8876055,776;534033,2156
10/03/2023;7751183;8622018,942;527219,8533
11/03/2023;7773030;9245920,137;506283,0956
12/03/2023;7782004;8439976,119;486574,7622
13/03/2023;7787611;8986157,554;526253,408
14/03/2023;7782864;8491187,954;521885,3716
15/03/2023;7763270;8090557,329;514546,8289
16/03/2023;7756867;8144044,311;508507,3058
17/03/2023;7734649;7974939,348;490119,5307
18/03/2023;7706413;8272924,481;532074,0764
19/03/2023;7677094;7185233,069;456687,7258
20/03/2023;7669443;8378935,407;536189,4556
21/03/2023;7694667;8313679,025;508617,3564
22/03/2023;7694396;8487146,35;506072,1236
23/03/2023;7693130;8486899,867;492746,7516
24/03/2023;7671487;8250442,716;491998,2849
25/03/2023;7670213;8531454,593;516604,9453
26/03/2023;7664510;7331966,106;412799,7271
27/03/2023;7673080;8599641,377;528109,2782
28/03/2023;7681469;8373918,864;501003,2818
29/03/2023;7679325;8528953,804;508196,1751
30/03/2023;7664334;8005780,486;477350,8378
31/03/2023;7647219;8305604,755;513783,856
01/04/2023;7653148;8678861,105;523325,043
02/04/2023;7649568;7894211,077;450218,8136
03/04/2023;7606181;8782724,046;526802,1817
04/04/2023;7622321;8635918,141;502548,3957
05/04/2023;7685024;9014646,517;528297,426
06/04/2023;7688946;8648868,966;496460,6932
07/04/2023;7692959;8827073,483;519932,9553
08/04/2023;7698354;8760744,591;500919,2379
09/04/2023;7700853;8107564,421;439140,9996
10/04/2023;7676454;9048799,886;524796,2889
11/04/2023;7676454;8503557,865;498399,4664
12/04/2023;7676454;8180936,454;484765,4009
13/04/2023;7549525;8405973,947;500669,0868
14/04/2023;7541357;8496414,961;500244,3136
15/04/2023;7529573;8524008,482;507564,663
16/04/2023;7505684;7667786,668;423873,4225
17/04/2023;7500864;8252280,432;505147,2153
18/04/2023;7537622;7859355,494;458651,2987
19/04/2023;7544074;8301481,46;490210,6532
20/04/2023;7560549;8444137,764;477461,2247
